x,y,peso_kg,nombre
-76.9886,-11.9886,5,Cliente114
-76.9885,-11.9885,5,Cliente115
-76.9884,-11.9884,5,Cliente116
-76.9883,-11.9883,5,Cliente117
-76.9882,-11.9882,5,Cliente118
-76.9881,-11.9881,5,Cliente119
-76.9880,-11.9880,5,Cliente120
-76.9879,-11.9879,5,Cliente121
-76.9878,-11.9878,5,Cliente122
-76.9877,-11.9877,5,Cliente123
-76.9876,-11.9876,5,Cliente124
-76.9875,-11.9875,5,Cliente125
-76.9874,-11.9874,5,Cliente126
-76.9873,-11.9873,5,Cliente127
-76.9872,-11.9872,5,Cliente128
-76.9871,-11.9871,5,Cliente129
-76.9870,-11.9870,5,Cliente130
-76.9869,-11.9869,5,Cliente131
-76.9868,-11.9868,5,Cliente132
-76.9867,-11.9867,5,Cliente133
-76.9866,-11.9866,5,Cliente134
-76.9865,-11.9865,5,Cliente135
-76.9864,-11.9864,5,Cliente136
-76.9863,-11.9863,5,Cliente137
-76.9862,-11.9862,5,Cliente138
-76.9861,-11.9861,5,Cliente139
-76.9860,-11.9860,5,Cliente140
-76.9859,-11.9859,5,Cliente141
-76.9858,-11.9858,5,Cliente142
-76.9857,-11.9857,5,Cliente143
-76.9856,-11.9856,5,Cliente144
-76.9855,-11.9855,5,Cliente145
-76.9854,-11.9854,5,Cliente146
-76.9853,-11.9853,5,Cliente147
-76.9852,-11.9852,5,Cliente148
-76.9851,-11.9851,5,Cliente149
-76.9850,-11.9850,5,Cliente150
-76.9849,-11.9849,5,Cliente151
-76.9848,-11.9848,5,Cliente152
-76.9847,-11.9847,5,Cliente153
-76.9846,-11.9846,5,Cliente154
-76.9845,-11.9845,5,Cliente155
-76.9844,-11.9844,5,Cliente156
-76.9843,-11.9843,5,Cliente157
-76.9842,-11.9842,5,Cliente158
-76.9841,-11.9841,5,Cliente159
-76.9840,-11.9840,5,Cliente160
-76.9839,-11.9839,5,Cliente161
-76.9838,-11.9838,5,Cliente162
-76.9837,-11.9837,5,Cliente163
-76.9836,-11.9836,5,Cliente164
-76.9835,-11.9835,5,Cliente165
-76.9834,-11.9834,5,Cliente166
-76.9833,-11.9833,5,Cliente167
-76.9832,-11.9832,5,Cliente168
-76.9831,-11.9831,5,Cliente169
-76.9830,-11.9830,5,Cliente170
-76.9829,-11.9829,5,Cliente171
-76.9828,-11.9828,5,Cliente172
-76.9827,-11.9827,5,Cliente173
-76.9826,-11.9826,5,Cliente174
-76.9825,-11.9825,5,Cliente175
-76.9824,-11.9824,5,Cliente176
-76.9823,-11.9823,5,Cliente177
-76.9822,-11.9822,5,Cliente178
-76.9821,-11.9821,5,Cliente179
-76.9820,-11.9820,5,Cliente180
-76.9819,-11.9819,5,Cliente181
-76.9818,-11.9818,5,Cliente182
-76.9817,-11.9817,5,Cliente183
-76.9816,-11.9816,5,Cliente184
-76.9815,-11.9815,5,Cliente185
-76.9814,-11.9814,5,Cliente186
-76.9813,-11.9813,5,Cliente187
-76.9812,-11.9812,5,Cliente188
-76.9811,-11.9811,5,Cliente189
-76.9810,-11.9810,5,Cliente190
-76.9809,-11.9809,5,Cliente191
-76.9808,-11.9808,5,Cliente192
-76.9807,-11.9807,5,Cliente193
-76.9806,-11.9806,5,Cliente194
-76.9805,-11.9805,5,Cliente195
-76.9804,-11.9804,5,Cliente196
-76.9803,-11.9803,5,Cliente197
-76.9802,-11.9802,5,Cliente198
-76.9801,-11.9801,5,Cliente199
-76.9800,-11.9800,5,Cliente200
-76.9799,-11.9799,5,Cliente201
-76.9798,-11.9798,5,Cliente202
-76.9797,-11.9797,5,Cliente203
-76.9796,-11.9796,5,Cliente204
-76.9795,-11.9795,5,Cliente205
-76.9794,-11.9794,5,Cliente206
-76.9793,-11.9793,5,Cliente207
-76.9792,-11.9792,5,Cliente208
-76.9791,-11.9791,5,Cliente209
-76.9790,-11.9790,5,Cliente210
-76.9789,-11.9789,5,Cliente211
-76.9788,-11.9788,5,Cliente212
-76.9787,-11.9787,5,Cliente213
-76.9786,-11.9786,5,Cliente214
-76.9785,-11.9785,5,Cliente215
-76.9784,-11.9784,5,Cliente216
-76.9783,-11.9783,5,Cliente217
-76.9782,-11.9782,5,Cliente218
-76.9781,-11.9781,5,Cliente219
-76.9780,-11.9780,5,Cliente220
-76.9779,-11.9779,5,Cliente221
-76.9778,-11.9778,5,Cliente222
-76.9777,-11.9777,5,Cliente223
-76.9776,-11.9776,5,Cliente224
-76.9775,-11.9775,5,Cliente225
-76.9774,-11.9774,5,Cliente226
-76.9773,-11.9773,5,Cliente227
-76.9772,-11.9772,5,Cliente228
-76.9771,-11.9771,5,Cliente229
-76.9770,-11.9770,5,Cliente230
-76.9769,-11.9769,5,Cliente231
-76.9768,-11.9768,5,Cliente232
-76.9767,-11.9767,5,Cliente233
-76.9766,-11.9766,5,Cliente234
-76.9765,-11.9765,5,Cliente235
-76.9764,-11.9764,5,Cliente236
-76.9763,-11.9763,5,Cliente237
-76.9762,-11.9762,5,Cliente238
-76.9761,-11.9761,5,Cliente239
-76.9760,-11.9760,5,Cliente240
-76.9759,-11.9759,5,Cliente241
-76.9758,-11.9758,5,Cliente242
-76.9757,-11.9757,5,Cliente243
-76.9756,-11.9756,5,Cliente244
-76.9755,-11.9755,5,Cliente245
-76.9754,-11.9754,5,Cliente246
-76.9753,-11.9753,5,Cliente247
-76.9752,-11.9752,5,Cliente248
-76.9751,-11.9751,5,Cliente249
-76.9750,-11.9750,5,Cliente250
-76.9749,-11.9749,5,Cliente251
-76.9748,-11.9748,5,Cliente252
-76.9747,-11.9747,5,Cliente253
-76.9746,-11.9746,5,Cliente254
-76.9745,-11.9745,5,Cliente255
-76.9744,-11.9744,5,Cliente256
-76.9743,-11.9743,5,Cliente257
-76.9742,-11.9742,5,Cliente258
-76.9741,-11.9741,5,Cliente259
-76.9740,-11.9740,5,Cliente260
-76.9739,-11.9739,5,Cliente261
-76.9738,-11.9738,5,Cliente262
-76.9737,-11.9737,5,Cliente263
-76.9736,-11.9736,5,Cliente264
-76.9735,-11.9735,5,Cliente265
-76.9734,-11.9734,5,Cliente266
-76.9733,-11.9733,5,Cliente267
-76.9732,-11.9732,5,Cliente268
-76.9731,-11.9731,5,Cliente269
-76.9730,-11.9730,5,Cliente270
-76.9729,-11.9729,5,Cliente271
-76.9728,-11.9728,5,Cliente272
-76.9727,-11.9727,5,Cliente273
-76.9726,-11.9726,5,Cliente274
-76.9725,-11.9725,5,Cliente275
-76.9724,-11.9724,5,Cliente276
-76.9723,-11.9723,5,Cliente277
-76.9722,-11.9722,5,Cliente278
-76.9721,-11.9721,5,Cliente279
-76.9720,-11.9720,5,Cliente280
-76.9719,-11.9719,5,Cliente281
-76.9718,-11.9718,5,Cliente282
-76.9717,-11.9717,5,Cliente283
-76.9716,-11.9716,5,Cliente284
-76.9715,-11.9715,5,Cliente285
-76.9714,-11.9714,5,Cliente286
-76.9713,-11.9713,5,Cliente287
-76.9712,-11.9712,5,Cliente288
-76.9711,-11.9711,5,Cliente289
-76.9710,-11.9710,5,Cliente290
-76.9709,-11.9709,5,Cliente291
-76.9708,-11.9708,5,Cliente292
-76.9707,-11.9707,5,Cliente293
-76.9706,-11.9706,5,Cliente294
-76.9705,-11.9705,5,Cliente295
-76.9704,-11.9704,5,Cliente296
-76.9703,-11.9703,5,Cliente297
-76.9702,-11.9702,5,Cliente298
-76.9701,-11.9701,5,Cliente299
-76.9700,-11.9700,5,Cliente300
-76.9699,-11.9699,5,Cliente301
-76.9698,-11.9698,5,Cliente302
-76.9697,-11.9697,5,Cliente303
-76.9696,-11.9696,5,Cliente304
-76.9695,-11.9695,5,Cliente305
-76.9694,-11.9694,5,Cliente306
-76.9693,-11.9693,5,Cliente307
-76.9692,-11.9692,5,Cliente308
-76.9691,-11.9691,5,Cliente309
-76.9690,-11.9690,5,Cliente310
-76.9689,-11.9689,5,Cliente311
-76.9688,-11.9688,5,Cliente312
-76.9687,-11.9687,5,Cliente313
-76.9686,-11.9686,5,Cliente314
-76.9685,-11.9685,5,Cliente315
-76.9684,-11.9684,5,Cliente316
-76.9683,-11.9683,5,Cliente317
-76.9682,-11.9682,5,Cliente318
-76.9681,-11.9681,5,Cliente319
-76.9680,-11.9680,5,Cliente320
-76.9679,-11.9679,5,Cliente321
-76.9678,-11.9678,5,Cliente322
-76.9677,-11.9677,5,Cliente323
-76.9676,-11.9676,5,Cliente324
-76.9675,-11.9675,5,Cliente325
-76.9674,-11.9674,5,Cliente326
-76.9673,-11.9673,5,Cliente327
-76.9672,-11.9672,5,Cliente328
-76.9671,-11.9671,5,Cliente329
-76.9670,-11.9670,5,Cliente330
-76.9669,-11.9669,5,Cliente331
-76.9668,-11.9668,5,Cliente332
-76.9667,-11.9667,5,Cliente333
-76.9666,-11.9666,5,Cliente334
-76.9665,-11.9665,5,Cliente335
-76.9664,-11.9664,5,Cliente336
-76.9663,-11.9663,5,Cliente337
-76.9662,-11.9662,5,Cliente338
-76.9661,-11.9661,5,Cliente339
-76.9660,-11.9660,5,Cliente340
-76.9659,-11.9659,5,Cliente341
-76.9658,-11.9658,5,Cliente342
-76.9657,-11.9657,5,Cliente343
-76.9656,-11.9656,5,Cliente344
-76.9655,-11.9655,5,Cliente345
-76.9654,-11.9654,5,Cliente346
-76.9653,-11.9653,5,Cliente347
-76.9652,-11.9652,5,Cliente348
-76.9651,-11.9651,5,Cliente349
-76.9650,-11.9650,5,Cliente350
-76.9649,-11.9649,5,Cliente351
-76.9648,-11.9648,5,Cliente352
-76.9647,-11.9647,5,Cliente353
-76.9646,-11.9646,5,Cliente354
-76.9645,-11.9645,5,Cliente355
-76.9644,-11.9644,5,Cliente356
-76.9643,-11.9643,5,Cliente357
-76.9642,-11.9642,5,Cliente358
-76.9641,-11.9641,5,Cliente359
-76.9640,-11.9640,5,Cliente360
-76.9639,-11.9639,5,Cliente361
-76.9638,-11.9638,5,Cliente362
-76.9637,-11.9637,5,Cliente363
-76.9636,-11.9636,5,Cliente364
-76.9635,-11.9635,5,Cliente365
-76.9634,-11.9634,5,Cliente366
-76.9633,-11.9633,5,Cliente367
-76.9632,-11.9632,5,Cliente368
-76.9631,-11.9631,5,Cliente369
-76.9630,-11.9630,5,Cliente370
-76.9629,-11.9629,5,Cliente371
-76.9628,-11.9628,5,Cliente372
-76.9627,-11.9627,5,Cliente373
-76.9626,-11.9626,5,Cliente374
-76.9625,-11.9625,5,Cliente375
-76.9624,-11.9624,5,Cliente376
-76.9623,-11.9623,5,Cliente377
-76.9622,-11.9622,5,Cliente378
-76.9621,-11.9621,5,Cliente379
-76.9620,-11.9620,5,Cliente380
-76.9619,-11.9619,5,Cliente381
-76.9618,-11.9618,5,Cliente382
-76.9617,-11.9617,5,Cliente383
-76.9616,-11.9616,5,Cliente384
-76.9615,-11.9615,5,Cliente385
-76.9614,-11.9614,5,Cliente386
-76.9613,-11.9613,5,Cliente387
-76.9612,-11.9612,5,Cliente388
-76.9611,-11.9611,5,Cliente389
-76.9610,-11.9610,5,Cliente390
-76.9609,-11.9609,5,Cliente391
-76.9608,-11.9608,5,Cliente392
-76.9607,-11.9607,5,Cliente393
-76.9606,-11.9606,5,Cliente394
-76.9605,-11.9605,5,Cliente395
-76.9604,-11.9604,5,Cliente396
-76.9603,-11.9603,5,Cliente397
-76.9602,-11.9602,5,Cliente398
-76.9601,-11.9601,5,Cliente399
-76.9600,-11.9600,5,Cliente400
-76.9599,-11.9599,5,Cliente401
-76.9598,-11.9598,5,Cliente402
-76.9597,-11.9597,5,Cliente403
-76.9596,-11.9596,5,Cliente404
-76.9595,-11.9595,5,Cliente405
-76.9594,-11.9594,5,Cliente406
-76.9593,-11.9593,5,Cliente407
-76.9592,-11.9592,5,Cliente408
-76.9591,-11.9591,5,Cliente409
-76.9590,-11.9590,5,Cliente410
-76.9589,-11.9589,5,Cliente411
-76.9588,-11.9588,5,Cliente412
-76.9587,-11.9587,5,Cliente413
-76.9586,-11.9586,5,Cliente414
-76.9585,-11.9585,5,Cliente415
-76.9584,-11.9584,5,Cliente416
-76.9583,-11.9583,5,Cliente417
-76.9582,-11.9582,5,Cliente418
-76.9581,-11.9581,5,Cliente419
-76.9580,-11.9580,5,Cliente420
-76.9579,-11.9579,5,Cliente421
-76.9578,-11.9578,5,Cliente422
-76.9577,-11.9577,5,Cliente423
-76.9576,-11.9576,5,Cliente424
-76.9575,-11.9575,5,Cliente425
-76.9574,-11.9574,5,Cliente426
-76.9573,-11.9573,5,Cliente427
-76.9572,-11.9572,5,Cliente428
-76.9571,-11.9571,5,Cliente429
-76.9570,-11.9570,5,Cliente430
-76.9569,-11.9569,5,Cliente431
-76.9568,-11.9568,5,Cliente432
-76.9567,-11.9567,5,Cliente433
-76.9566,-11.9566,5,Cliente434
-76.9565,-11.9565,5,Cliente435
-76.9564,-11.9564,5,Cliente436
-76.9563,-11.9563,5,Cliente437
-76.9562,-11.9562,5,Cliente438
-76.9561,-11.9561,5,Cliente439
-76.9560,-11.9560,5,Cliente440
-76.9559,-11.9559,5,Cliente441
-76.9558,-11.9558,5,Cliente442
-76.9557,-11.9557,5,Cliente443
-76.9556,-11.9556,5,Cliente444
-76.9555,-11.9555,5,Cliente445
-76.9554,-11.9554,5,Cliente446
-76.9553,-11.9553,5,Cliente447
-76.9552,-11.9552,5,Cliente448
-76.9551,-11.9551,5,Cliente449
-76.9550,-11.9550,5,Cliente450
-76.9549,-11.9549,5,Cliente451
-76.9548,-11.9548,5,Cliente452
-76.9547,-11.9547,5,Cliente453
-76.9546,-11.9546,5,Cliente454
-76.9545,-11.9545,5,Cliente455
-76.9544,-11.9544,5,Cliente456
-76.9543,-11.9543,5,Cliente457
-76.9542,-11.9542,5,Cliente458
-76.9541,-11.9541,5,Cliente459
-76.9540,-11.9540,5,Cliente460
-76.9539,-11.9539,5,Cliente461
-76.9538,-11.9538,5,Cliente462
-76.9537,-11.9537,5,Cliente463
-76.9536,-11.9536,5,Cliente464
-76.9535,-11.9535,5,Cliente465
-76.9534,-11.9534,5,Cliente466
-76.9533,-11.9533,5,Cliente467
-76.9532,-11.9532,5,Cliente468
-76.9531,-11.9531,5,Cliente469
-76.9530,-11.9530,5,Cliente470
-76.9529,-11.9529,5,Cliente471
-76.9528,-11.9528,5,Cliente472
-76.9527,-11.9527,5,Cliente473
-76.9526,-11.9526,5,Cliente474
-76.9525,-11.9525,5,Cliente475
-76.9524,-11.9524,5,Cliente476
-76.9523,-11.9523,5,Cliente477
-76.9522,-11.9522,5,Cliente478
-76.9521,-11.9521,5,Cliente479
-76.9520,-11.9520,5,Cliente480
-76.9519,-11.9519,5,Cliente481
-76.9518,-11.9518,5,Cliente482
-76.9517,-11.9517,5,Cliente483
-76.9516,-11.9516,5,Cliente484
-76.9515,-11.9515,5,Cliente485
-76.9514,-11.9514,5,Cliente486
-76.9513,-11.9513,5,Cliente487
-76.9512,-11.9512,5,Cliente488
-76.9511,-11.9511,5,Cliente489
-76.9510,-11.9510,5,Cliente490
-76.9509,-11.9509,5,Cliente491
-76.9508,-11.9508,5,Cliente492
-76.9507,-11.9507,5,Cliente493
-76.9506,-11.9506,5,Cliente494
-76.9505,-11.9505,5,Cliente495
-77.05,-11.90,5,Nuñez Pena
-77.06,-11.91,5,Muñoz Díaz
-77.07,-11.92,5,Peña Vasquez
